Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Category,tkd
chembl5093625,,,568.68,2.0,5.06,7i,C=CCC(=O)N(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,ic50,'>',1000.0,nm,,,,uo_0000065,,,,,0.0,chembl5046853,inhibition of egfr del19 (unknown origin) using flurogenic substrate in presence of atp by htrf assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5046228,1.0,scientific literature,eur j med chem,2022.0,,,,,1000.0,1.0,del
chembl5435225,,,523.06,2.0,5.21,d49,CCS(=O)(=O)n1cc(-c2nc(Nc3ccc4c(ccn4CCN(C)C)c3)ncc2Cl)c2ccccc21,ic50,'=',16.0,nm,7.8,,,uo_0000065,14.9,0.3,2.59,9.17,0.0,chembl5341569,inhibition of egfr del19 mutant (unknown origin),b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5338765,1.0,scientific literature,j med chem,2023.0,,,inhibitor,,16.0,1.0,del
chembl939,gefitinib,4.0,446.91,0.0,4.28,gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,ic50,'=',6.2,nm,8.21,,,uo_0000065,18.37,0.36,3.93,11.94,0.0,chembl3626110,inhibition of egfr exon19 deletion mutant phosphorylation in human pc9 cells,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3621142,1.0,scientific literature,j med chem,2015.0,chembl3307867,,,,6.2,1.0,del
chembl2426277,,,519.01,1.0,4.07,56,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,ic50,'=',140.0,nm,6.85,,,uo_0000065,13.21,0.25,2.78,6.86,0.0,chembl2427714,inhibition of egfr exon 19 deletion activating mutant phosphorylation in human pc9 cells after 2 hrs by fluorescence assay,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl2424560,1.0,scientific literature,j med chem,2013.0,chembl3307867,,,,0.14,1.0,del
chembl4214620,,,466.93,1.0,5.37,17,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(N=[N+]=[N-])c2)n1,ic50,'=',7430.0,nm,5.13,,,uo_0000065,10.98,0.21,-0.24,4.6,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,7.43,1.0,del
chembl3414623,,,574.77,2.0,5.53,chemical probe: lly-507,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,ic50,'>',20000.0,nm,,,,uo_0000065,,,,,0.0,chembl5675070,inhibition of human egfr e746/a750del by discoverx kinome scan assay,b,bao_0000357,single protein format,homo sapiens,,,,,efo_id: mondo:0004992 | efo_term: cancer,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5674866,72.0,chemical probe data from scientific literature,j biol chem,2015.0,,,,,20.0,1.0,del
chembl3814572,,,533.64,1.0,4.34,13,C=CC(=O)N(C)c1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,ec50,'=',250.0,nm,6.6,,,uo_0000065,12.37,0.23,2.26,5.95,0.0,chembl3817138,inhibition of egfr exon19 deletion activating mutant autophosphorylation in human pc9 cells incubated for 2 hrs by elisa,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3813644,1.0,scientific literature,acs med chem lett,2016.0,chembl3307867,,,,0.25,1.0,del
chembl4088277,,,535.65,2.0,5.65,6c,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cncc5ccccc45)ccc23)c(OC)cc1N(C)CCN(C)C,ec50,'=',162.0,nm,6.79,,,uo_0000065,12.68,0.23,1.14,6.9,0.0,chembl4009503,inhibition of egfr dele746_a750 mutant in human hcc827 cells assessed as reduction in cell viability after 96 hrs by celltiterglo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4007434,1.0,scientific literature,j med chem,2017.0,,,,,162.0,1.0,del
chembl4208712,,,513.0,1.0,3.75,12,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCO)n1,ic50,'=',650.0,nm,6.19,,,uo_0000065,12.06,0.23,2.44,5.52,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,0.65,1.0,del
chembl4297865,abivertinib,3.0,487.54,0.0,4.51,12b,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,ic50,'=',2.1,nm,8.68,,,uo_0000065,17.8,0.33,4.17,8.82,0.0,chembl4829485,inhibition of wild type egfr del e746/a750 mutant (unknown origin) pretreated with substrate for 10 mins followed by atp addition measured after 60 mins by mobility shift assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4828722,1.0,scientific literature,eur j med chem,2021.0,,time = 1.0 hr,inhibitor,,2.1,1.0,del
