name,smiles
FILGOTINIB HYDROCHLORIDE,Cl.O.O.O.O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
UPADACITINIB TARTRATE,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O.O.O.O.O=C(O)C(O)C(O)C(=O)O
REBASTINIB TOSYLATE,
ENSARTINIB HYDROCHLORIDE,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1.Cl.Cl
LONDAMOCITINIB,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1
ILUNOCITINIB,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)C2CC2)C1
NIMUCITINIB,NC(=O)c1cnc(Nc2cccc(NC(=O)[C@H]3CCCNC3)c2)cc1NCc1cc(F)cc(F)c1
PEFICITINIB HYDROBROMIDE,Br.NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2
ANSORNITINIB,COC(=O)c1ccc2c(n1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1
ICOTINIB HYDROCHLORIDE,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1.Cl
TESEVATINIB TOSYLATE,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1.Cc1ccc(S(=O)(=O)O)cc1
EDICOTINIB HYDROCHLORIDE,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1.Cl
ATINVICITINIB,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1
DARIZMETINIB,CCCS(=O)(=O)Nc1c(F)ccc(C(=O)c2n[nH]c3ncc(-c4ccncc4)cc23)c1F
OLMUTINIB HYDROCHLORIDE,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1.Cl.Cl
GOLVATINIB TARTRATE,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1.O=C(O)C(O)C(O)C(=O)O
